City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Takhli,TH,89.01,overcast clouds,15.2634,100.3438,โรงเเรมกอล์ฟ 19
376,Arlit,NE,83.07,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
378,Edd,ER,85.95,overcast clouds,13.9297,41.6925,
385,Vao,NC,75.92,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
393,Labuan,MY,84.2,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
395,Saidpur,BD,85.12,clear sky,25.7777,88.8917,হোটেল রুবেল
397,Payo,ID,82.4,clear sky,-3.7508,103.6372,Mess keban agung
398,Manggar,ID,85.73,clear sky,-2.8833,108.2667,Guest Hotel
404,The Valley,AI,79.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
416,Luba,GQ,81.25,moderate rain,3.4568,8.5547,
420,Santa Cruz Del Sur,CU,78.12,scattered clouds,20.7147,-77.9956,
424,Veraval,IN,80.69,overcast clouds,20.9,70.3667,Lords Inn Somnath
426,Luwuk,ID,82.51,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
428,Alofi,NU,86.0,scattered clouds,-19.0595,-169.9187,Taloa Heights
432,Kattivakkam,IN,86.0,scattered clouds,13.2167,80.3167,Raj's villa
434,Mattru,SL,75.38,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
445,Nabire,ID,84.29,clear sky,-3.3667,135.4833,Hotel Nusantara Nabire
446,Guanare,VE,80.6,few clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
447,Cayenne,GF,77.0,light rain,4.9333,-52.3333,Hôtel Le Dronmi
453,Lahaina,US,80.6,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
457,Andros Town,BS,75.2,scattered clouds,24.7,-77.7667,Hanks place
461,Ures,MX,78.01,clear sky,29.4333,-110.4,Hotel HACIENDA San Francisco
