City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Vaini,TO,2021-04-21 17:38:36,-21.2,-175.2,71.6,94,20,4.61
136,Oussouye,SN,2021-04-21 17:38:36,12.485,-16.5469,91.4,69,0,9.22
137,Georgetown,MY,2021-04-21 17:34:42,5.4112,100.3354,82.4,89,40,2.3
138,Lagoa,PT,2021-04-21 17:38:37,39.05,-27.9833,63.28,90,100,30.82
139,Tiarei,PF,2021-04-21 17:38:37,-17.5333,-149.3333,77.0,83,40,3.44
140,Nanortalik,GL,2021-04-21 17:38:37,60.1432,-45.2371,38.28,76,100,7.43
141,Roura,GF,2021-04-21 17:38:38,4.7263,-52.3274,82.4,83,75,11.5
142,Bredasdorp,ZA,2021-04-21 17:38:38,-34.5322,20.0403,62.6,88,77,6.91
143,Ghanzi,BW,2021-04-21 17:38:38,-21.5667,21.7833,66.87,36,0,7.81
144,General Roca,AR,2021-04-21 17:38:39,-39.0333,-67.5833,66.2,63,20,3.44
145,Pisco,PE,2021-04-21 17:38:39,-13.7,-76.2167,73.4,68,0,10.36
146,Nikolskoye,RU,2021-04-21 17:38:39,59.7035,30.7861,37.4,87,90,6.71
147,Champerico,GT,2021-04-21 17:38:40,14.3,-91.9167,86.0,79,75,8.52
148,Talnakh,RU,2021-04-21 17:37:22,69.4865,88.3972,11.88,91,100,7.87
149,Vredendal,ZA,2021-04-21 17:34:53,-31.6683,18.5012,64.42,66,15,5.12
150,Comodoro Rivadavia,AR,2021-04-21 17:34:51,-45.8667,-67.5,59.0,58,75,13.8
151,Nantucket,US,2021-04-21 17:37:43,41.2835,-70.0995,57.2,77,75,17.27
152,Marshall,US,2021-04-21 17:38:41,34.3834,-86.3333,48.99,57,75,13.8
153,Tuatapere,NZ,2021-04-21 17:38:41,-46.1333,167.6833,46.99,97,86,1.01
154,Codrington,AU,2021-04-21 17:38:42,-38.2667,141.9667,50.27,90,64,9.53
155,Yashalta,RU,2021-04-21 17:38:42,46.3395,42.2762,52.43,75,64,4.21
156,Roebourne,AU,2021-04-21 17:38:43,-20.7833,117.1333,78.53,52,1,9.53
157,Calbuco,CL,2021-04-21 17:38:43,-41.768,-73.1273,55.4,76,75,6.91
158,Hithadhoo,MV,2021-04-21 17:38:44,-0.6,73.0833,82.99,66,63,4.76
159,Santa Cruz,BO,2021-04-21 17:38:44,-17.8,-63.1667,84.2,65,75,14.97
160,Margate,GB,2021-04-21 17:36:48,51.3813,1.3862,46.99,66,8,8.01
161,Tautira,PF,2021-04-21 17:38:44,-17.7333,-149.15,77.0,83,40,3.44
162,Cabo San Lucas,MX,2021-04-21 17:35:47,22.8909,-109.9124,84.0,27,1,4.61
163,Quatre Cocos,MU,2021-04-21 17:38:45,-20.2078,57.7625,77.0,88,75,4.61
