City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
159,Tuktoyaktuk,69.4541,-133.0374,19.4,73,75,10.36,CA,broken clouds
160,Bundaberg,-24.85,152.35,80.01,44,34,10.36,AU,scattered clouds
161,Penzance,50.1186,-5.5371,48.99,81,64,25.86,GB,broken clouds
162,Yar-Sale,66.8333,70.8333,31.78,99,97,9.31,RU,overcast clouds
163,Gorontalo,0.5412,123.0595,76.57,92,100,1.45,ID,overcast clouds
164,Rongcheng,30.634,117.8517,67.06,81,100,7.67,CN,overcast clouds
165,Sovetskaya Gavan,48.9723,140.2878,39.72,68,99,10.8,RU,overcast clouds
166,Rio De Janeiro,-22.9028,-43.2075,73.4,83,20,8.05,BR,few clouds
167,Ribeira Grande,38.5167,-28.7,58.64,78,99,28.74,PT,overcast clouds
168,Kodiak,57.79,-152.4072,41.0,81,90,9.22,US,light rain
169,Chokurdakh,70.6333,147.9167,9.88,85,18,1.41,RU,few clouds
170,Torbay,47.6666,-52.7314,39.99,100,90,18.41,CA,overcast clouds
171,Zhukovo,55.0318,36.744,39.99,93,100,4.47,RU,moderate rain
172,Beihai,21.4833,109.1,80.28,81,9,12.26,CN,clear sky
173,Chapais,49.7834,-74.8492,42.8,42,1,9.22,CA,clear sky
174,Klaksvik,62.2266,-6.589,42.8,100,90,6.91,FO,overcast clouds
175,Songjianghe,42.1859,127.479,60.19,51,90,8.12,CN,overcast clouds
176,Mahebourg,-20.4081,57.7,77.0,88,75,8.05,MU,light rain
177,Thompson,55.7435,-97.8558,21.2,42,20,8.05,CA,few clouds
178,Sola,-13.8833,167.55,83.64,68,100,13.42,VU,overcast clouds
179,Dingle,10.9995,122.6711,89.6,53,93,8.23,PH,moderate rain
180,Ust-Maya,60.4167,134.5333,28.49,81,100,7.34,RU,light snow
181,Hithadhoo,-0.6,73.0833,82.45,70,17,5.1,MV,few clouds
182,Baherden,38.4362,57.4316,65.71,58,68,4.43,TM,broken clouds
183,Tevaitoa,-16.7833,-151.5,79.86,75,100,11.97,PF,light rain
184,Comodoro Rivadavia,-45.8667,-67.5,46.4,81,0,4.61,AR,clear sky
185,Araouane,18.9048,-3.5265,85.42,11,6,6.53,ML,clear sky
186,Qaanaaq,77.484,-69.3632,17.8,81,100,5.08,GL,overcast clouds
187,Marzuq,14.4,46.4667,67.17,53,1,6.02,YE,clear sky
188,Severo-Kurilsk,50.6789,156.125,38.07,86,98,6.64,RU,overcast clouds
189,Leningradskiy,69.3833,178.4167,29.35,85,96,5.66,RU,overcast clouds
190,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.0,81,88,6.71,RU,overcast clouds
191,Maldonado,-34.6667,-54.9167,64.99,88,0,4.61,UY,clear sky
192,Olafsvik,64.8945,-23.7142,43.48,93,100,11.81,IS,overcast clouds
193,Huarmey,-10.0681,-78.1522,67.71,87,3,7.63,PE,clear sky
194,Dvinskoy,62.1535,45.1175,46.45,77,98,8.37,RU,overcast clouds
195,Bendigo,-36.7667,144.2833,57.99,58,100,1.99,AU,overcast clouds
196,Gualaca,8.5333,-82.3,78.8,83,40,2.3,PA,scattered clouds
197,Dolores,-36.3132,-57.6792,63.5,96,100,10.09,AR,light rain
198,Gushikawa,26.3544,127.8686,68.0,88,90,18.41,JP,overcast clouds
199,Aswan,24.0934,32.907,78.91,11,0,11.36,EG,clear sky
200,Sorland,67.667,12.6934,36.54,54,98,21.45,NO,overcast clouds
201,Karratha,-20.7377,116.8463,86.36,19,0,17.27,AU,clear sky
202,Brockville,44.5834,-75.6826,50.0,62,1,10.36,CA,clear sky
203,Codrington,-38.2667,141.9667,60.66,70,90,13.33,AU,overcast clouds
204,Gallup,35.5281,-108.7426,59.0,12,40,14.97,US,scattered clouds
205,Ahuimanu,21.4447,-157.8378,80.6,65,75,12.66,US,broken clouds
206,Mubi,10.2676,13.2644,81.09,49,100,5.86,NG,overcast clouds
207,Tongzi,28.7829,105.0877,72.63,79,88,8.3,CN,overcast clouds
208,Kysyl-Syr,63.8986,122.7617,25.68,81,94,5.73,RU,overcast clouds
209,Port Hardy,50.6996,-127.4199,50.0,93,90,4.81,CA,light rain
210,Liverpool,53.4106,-2.9779,48.0,57,100,6.91,GB,overcast clouds
211,Geraldton,-28.7667,114.6,78.8,36,0,4.61,AU,clear sky
212,Kelheim,48.9167,11.8667,39.99,80,14,1.14,DE,few clouds
213,Fairbanks,64.8378,-147.7164,59.0,23,1,9.22,US,clear sky
214,Walvis Bay,-22.9575,14.5053,60.01,94,5,2.3,NA,clear sky
215,Saldanha,-33.0117,17.9442,55.4,82,70,6.91,ZA,broken clouds
216,Pryazha,61.6926,33.6216,30.2,93,9,4.21,RU,mist
217,Goderich,43.7501,-81.7165,48.2,57,99,5.75,CA,overcast clouds
218,Pitimbu,-7.4706,-34.8086,77.0,88,40,3.44,BR,scattered clouds
219,Puerto Colombia,10.9878,-74.9547,80.6,78,0,16.11,CO,clear sky
220,Khandyga,62.6667,135.6,25.68,68,19,6.33,RU,few clouds
221,Santa Rosa,14.3122,121.1114,89.01,66,20,5.75,PH,few clouds
222,Owando,-0.4819,15.8999,68.68,99,100,2.91,CG,moderate rain
223,Nanortalik,60.1432,-45.2371,35.4,89,9,4.29,GL,clear sky
224,Lavrentiya,65.5833,-171.0,33.35,82,2,3.8,RU,clear sky
225,Longyearbyen,78.2186,15.6401,17.6,67,90,3.44,SJ,light snow
226,Arraial Do Cabo,-22.9661,-42.0278,73.72,77,61,11.74,BR,broken clouds
227,Ahipara,-35.1667,173.1667,66.4,63,21,9.42,NZ,few clouds
228,Barhi,23.9,80.8,87.39,14,83,8.93,IN,broken clouds
229,Tandil,-37.3217,-59.1332,61.0,100,90,5.75,AR,light rain
230,Castro,-24.7911,-50.0119,53.46,78,9,3.98,BR,clear sky
231,Ambilobe,-13.2,49.05,70.41,86,73,3.15,MG,broken clouds
232,Katsuura,35.1333,140.3,66.99,59,75,6.91,JP,broken clouds
233,Nizwa,22.9333,57.5333,75.7,26,0,1.1,OM,clear sky
234,Punta Alta,-38.8759,-62.0736,63.75,72,100,3.85,AR,overcast clouds
235,Margate,51.3813,1.3862,46.99,76,86,1.99,GB,overcast clouds
236,Mumford,5.2618,-0.759,81.0,85,100,9.91,GH,moderate rain
237,Eravur,7.7733,81.6095,81.43,77,7,2.37,LK,clear sky
238,Sobolevo,54.4299,31.8996,32.05,87,40,5.37,RU,light snow
239,Finnsnes,69.2296,17.9811,28.4,93,75,9.22,NO,light snow
240,Beira,-19.8436,34.8389,69.8,94,0,2.19,MZ,clear sky
241,Cabinda,-5.55,12.2,78.01,89,53,2.17,AO,broken clouds
242,Virginia Beach,36.8529,-75.978,57.2,41,75,5.75,US,broken clouds
243,Port Augusta,-32.5,137.7667,66.2,59,0,8.05,AU,clear sky
